,city,x,y
0,İstanbul,-390.28344098949134,149.73466971012743
1,Ankara,-147.63629042776995,64.47199958810302
2,İzmir,-503.9371530002891,-55.314157241663395
3,Bursa,-383.64599933081143,84.46925360838918
4,Antalya,-282.03200762194257,-174.0976882283286
5,Konya,-170.424424242768,-98.04812329448919
6,Adana,6.759086501108982,-166.84246657627835
7,Gaziantep,135.1598963325073,-161.57670722707576
8,Şanlıurfa,223.01866355134894,-154.3451696500596
9,Mersin,-37.426063187264845,-182.63184993220904
10,Diyarbakır,313.16061088962374,-94.93761477337083
11,Kayseri,16.634152427509434,-30.003775722106923
12,Samsun,69.45296682980495,171.5792815830577
13,Tekirdağ,-480.33805356909926,147.62678703211088
14,Denizli,-382.32973975376115,-105.80860521392914
15,Eskişehir,-292.9488524552974,52.369437245782194
16,Trabzon,281.08380167070254,149.33993512622953
17,Erzurum,377.96924001746686,62.86937717747617
18,Malatya,194.44772107319682,-59.837815573137306
19,Batman,369.09228561868736,-97.10865498481155
20,Kahramanmaraş,107.8365932638817,-120.4611529682327
21,Elazığ,249.531001003783,-35.26164037963187
22,Hatay,58.22421214406836,-230.0
23,Sivas,112.29066595589052,50.261554567765586
24,Kocaeli,-329.13039533156007,130.44004324918052
25,Van,511.53527700430436,-48.27209226491854
26,Balıkesir,-457.41267941905363,42.45370449825799
27,Adıyaman,190.86699596785638,-106.49544338991191
28,Afyonkarahisar,-291.82597698672396,-28.04589218597161
29,Aksaray,-74.04427985686169,-58.795716271646086
30,Çorum,-16.42829192493741,113.33224638303017
31,Kütahya,-326.46668519222146,24.540649080954836
32,Osmaniye,64.46240919169998,-160.9214478178042
33,Sakarya,-300.29744857740747,131.40319563389227
34,Isparta,-291.11482252329387,-106.31386548131887
35,Uşak,-362.85408857105585,-33.95112156108934
36,Manisa,-486.00857468539635,-39.493195119020896
37,Düzce,-253.1678698825516,136.44790361611234
38,Niğde,-33.52719003249513,-90.52448212538818
39,Bolu,-225.61375352316338,127.89005783719779
40,Tokat,83.43900461059502,94.44814388933702
41,Kırıkkale,-106.22090022854474,57.50098683645996
42,Karaman,-124.7608218541053,-152.37149673056786
43,Muş,391.4125546551131,-30.003775722106923
44,Aydın,-459.83933807058213,-99.887586455455
45,Çanakkale,-550.0,81.84032127962644
46,Edirne,-540.0563139060754,202.47910481061336
47,Siirt,419.7776366306931,-100.39284672284472
48,Bingöl,329.69183306584705,-17.940686838176134
49,Erzincan,266.6673282936264,49.977345667358975
50,Zonguldak,-214.38499883742674,182.92395352429332
51,Ordu,166.35088157066468,147.62678703211088
52,Bartın,-179.60705029688143,199.02912454734246
53,Kırşehir,-65.86600352741664,2.49866991607621
54,Ağrı,488.9342891007359,48.09051435632489
55,Amasya,38.46784209421969,121.31377966945263
56,Kastamonu,-89.4151973822257,179.20555374397173
57,Yalova,-370.6518348805952,121.75588240341875
58,Nevşehir,-31.468585006776607,-38.55372680934329
59,Rize,330.62756262299195,150.26361405255125
60,Iğdır,550.0,63.42200559493358
61,Giresun,199.62542462273086,141.05050886436572
62,Karabük,-161.15446342998757,164.73458389826175
63,Kilis,118.5288630035219,-189.20812809995363
64,Burdur,-307.75209404932696,-110.26121132030127
65,Kars,491.34847135816904,117.91116755625
66,Yozgat,-25.473677644002805,55.850996275764885
67,Kırklareli,-498.5161597658973,206.94750030034135
68,Çankırı,-99.80803366357947,117.36643383047021
69,Şırnak,451.92306601713824,-126.07427875126608
70,Mardin,344.42021629530507,-141.83997803216266
71,Bilecik,-326.7224512711744,81.29558755384676
72,Hakkari,531.7532736356782,-121.49535757804625
73,Bitlis,430.4387153850954,-56.31678308476518
74,Bayburt,312.49312380552715,90.09816877477851
75,Sinop,-4.089138164722385,230.0
76,Gümüşhane,265.8189334951487,106.29018140628477
77,Muğla,-427.31337866423166,-149.73466971012743
78,Ardahan,466.8261187639299,158.15830573051664
79,Tunceli,270.20438601963326,-0.572365146652686
80,Artvin,411.89255556248713,163.32932877958382
